HomeTeam,AwayTeam,MeanGoalsHome,MeanShotsOnTargetHome,MeanGoalsAway,MeanShotsOnTargetAway,HomeTeam_FTR_Mode,AwayTeam_FTR_Mode,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Cercle Brugge,Mechelen,1.408450704225352,4.872549019607843,1.1464285714285714,4.108910891089109,"('Cercle Brugge', 'H')","('Mechelen', 'H')",6,5,9,6
Waasland-Beveren,Club Brugge,1.1470588235294117,4.950819672131147,1.6978609625668448,5.38135593220339,"('Waasland-Beveren', 'A')","('Club Brugge', 'A')",3,7,4,4
Standard,Oud-Heverlee Leuven,1.814516129032258,5.102564102564102,1.1940298507462686,4.324324324324325,"('Standard', 'H')","('Oud-Heverlee Leuven', 'H')",12,2,4,9
Beerschot VA,Antwerp,1.4054054054054055,4.305555555555555,1.1875,4.319327731092437,"('Beerschot VA', 'A')","('Antwerp', 'H')",5,6,6,7
Charleroi,Waregem,1.3746478873239436,4.939130434782609,1.2826855123674912,4.145833333333333,"('Charleroi', 'H')","('Waregem', 'H')",9,6,4,6
Genk,Anderlecht,1.946236559139785,5.823529411764706,1.628032345013477,4.3418803418803416,"('Genk', 'H')","('Anderlecht', 'A')",8,12,5,5
Gent,Eupen,1.8629032258064515,5.890756302521009,0.9652777777777778,3.5350877192982457,"('Gent', 'H')","('Eupen', 'H')",12,4,4,7
Oud-Heverlee Leuven,Kortrijk,1.544776119402985,4.712328767123288,1.0317460317460319,3.8448275862068964,"('Oud-Heverlee Leuven', 'H')","('Kortrijk', 'H')",4,3,3,7
St Truiden,Waregem,1.3624595469255663,4.38135593220339,1.2826855123674912,4.145833333333333,"('St Truiden', 'H')","('Waregem', 'H')",5,6,4,6
Standard,Antwerp,1.814516129032258,5.102564102564102,1.1875,4.319327731092437,"('Standard', 'H')","('Antwerp', 'H')",12,6,4,7
Beerschot VA,Mechelen,1.4054054054054055,4.305555555555555,1.1464285714285714,4.108910891089109,"('Beerschot VA', 'A')","('Mechelen', 'H')",5,5,6,6
Cercle Brugge,Anderlecht,1.408450704225352,4.872549019607843,1.628032345013477,4.3418803418803416,"('Cercle Brugge', 'H')","('Anderlecht', 'A')",6,12,9,5
Gent,Mouscron,1.8629032258064515,5.890756302521009,1.1132075471698113,3.819672131147541,"('Gent', 'H')","('Mouscron', 'H')",12,2,4,10
Waasland-Beveren,Eupen,1.1470588235294117,4.950819672131147,0.9652777777777778,3.5350877192982457,"('Waasland-Beveren', 'A')","('Eupen', 'H')",3,4,4,7
Oostende,Genk,1.5,4.864583333333333,1.5148247978436657,4.9576271186440675,"('Oostende', 'A')","('Genk', 'H')",5,7,6,8
Mechelen,Gent,1.5642857142857143,5.173076923076923,1.462162162162162,5.237288135593221,"('Mechelen', 'H')","('Gent', 'A')",6,6,4,4
